🔒 Row ID,Site Name,Address,Logo,Post Orders,Phone Number,Created Date
sitere-001,Kanvas,Kanvas by Kevin Kelley main st Dallas Tx,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/qk8K2ilH79CFHP87HN5Z.jpg,,,
sitere-002,DFW Hindu Temple,"1605 North Britain Road, Irving, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/OGZvWP2aHK2iuvknNC11.jpg,,,
sitere-003,Our Calling,"OurCalling, South Cesar Chavez Boulevard, Dallas, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/E8DiF2pdhSAQXt0qCJ4g.jpg,,,
sitere-004,Jaguars,"Jaguars Club San Antonio, Brewster Street, San Antonio, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/LH1ENzM5QVXZvjyKj040.jpg,,,
sitere-005,Vivo ,"234 Pine St, Anytown USA",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/FR5oylPtrPvgxp6P9aRB.png,,,
sitere-006,XTC,"XTC, Springdale Road, Austin, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/g8Lpxat2h3Hw5yuub2XY.jpg,,,
sitere-007,Foxy's ,"3501 Andtree Boulevard, Austin, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/ZTSvrtMYdPPeWjYcxyVu.jpg,,,
sitere-008,La La Land Dallas,"3330 Oak Lawn Avenue, Dallas, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/nLEiqRAYkPdOcvM33wCz.jpg,,,
sitere-009,La La Land Houston,"3502 South Shepherd Drive, Houston, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/SsGvngekdKIrtzGwRN5H.jpg,,,
sitere-010,Inso Social,"3165 Regent Boulevard, Irving, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/9FMRlxa7R60rrPkDEKr5.jpg,,,
e7EN9o5pjbpifxkFQo29,Treasure island Bingo,"2400 East Oltorf Street ste 11, Austin, TX, USA
",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/RSlQjThoDlNQ4vRv999s.jpg,,,
HDiFlNlV6t5TYKH6clGN,Boomerjacks Mansfield,Mansfield Tx,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/qfBFpxMRboDwsPoeyzOh.jpg,,,
Y9y7Ufsgz0rxJbLOW4jG,Icehouse,west fwy hurst texas,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/VgYGbDi1RUX2sWa3FY30.jpg,,,
kkBNm6PLlx25Wjy2kBgX,Other,other,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/SVeK0UXpj3BfSsS6z7hx.jpg,,,
