Logo,Name,Status,Pay Rate,Site,Bill Rate,Notes
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/PTyi9dI3FFcJOaWxyQD9.jpg,DFW Hindu Temple,Active,20,Dfw Hindu Temple,35,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/9hopFH8zDfBoaL9plKBF.png,La La Land Houston,Active,20,LaLa Land Houston,32,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/K7PTQuBI5TEuxvO92SnP.png,La La Land Dallas,Active,20,La La Land Dallas,32,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/gSOs7ueUjFZ9EmVYOrE1.png,Treasure Island Bingo Hall,Active,20,Treasure Island Bingo Hall (Austin),30,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/JN1CTTuaxGAAbk5CBqH5.dat,Kanvas Level 2,Active,20,Kanvas,25,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/wuYxN4xE5OLAyJ9nvmAu.dat,Kanvas Level 3,Active,25,Kanvas,30,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/Ppb8UoxFxtA7W1FBHC0k.dat,Kanvas Staff,Active,18,Kanvas,20,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/UYZezQw87FFZUHSc74nx.dat,Kanvas Floor Lead,Active,20,Kanvas,20,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/TP1Q3HlJ9uXymISRJRXR.png,Vivo Level 2,Active,20,Vivo,25,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/ui2pvGak13qLFuCdu6gl.png,Vivo Level 3,Active,25,Vivo,45,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/g1KKSY7nCPGNzXwLi4Db.png,ViVo Floor Lead,Active,20,Vivo,20,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/KQTKb0l3Ek1HurzOWkeS.png,Vivo Security Manager,Active,40,Vivo,40,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/A3i3dPcgfcGkFFfIc1nR.png,ViVo Staff,Active,18,Vivo,20,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/iAUYrgC4wmvvJIyCUY7s.png,Foxy's,Active,22,Foxy's,31,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/DVaOGqg16VDF8H96q9xu.jpg,Jaguars,Active,22,Jaguars,31,
https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/zWvGg0CA33cLEdoyFyNT/pub/7cyhYiW8elAQ4ZA17Rw6.jpg,XTC,Active,22,XTC,31,
,Other Shifts,,,Other,,
,Other Not Listed,Active,20,Other,,
,Other Level 3,Active ,,Other,,
,Other Level 2,Active ,,Other ,,
,PPO/Level 4 ,Active ,,Other ,,
,Inso,Active ,20.00,Inso,$30.00,
